ELBO loss,Accuracy,Epoch wall clock times
-482.2597420753376,0.5439333319664001,39.758546026998374
-551.0078658493248,0.8827666640281677,79.70729080999445
-581.0180233830846,0.9362833499908447,120.83466890399723
-593.3419950604122,0.9559000134468079,161.49267054799566
-601.9989837953092,0.9634000062942505,201.74762643400027
-606.4995133617626,0.9664499759674072,241.87593010500132
-610.9134299218196,0.9707666635513306,282.7939470900019
-614.6473914001422,0.9726499915122986,323.58830098800536
-617.5992093816631,0.9736166596412659,363.7813689590039
-620.1715419331912,0.9781166911125183,403.5478904650081
-622.0695861407249,0.9791666865348816,443.881379716011
-624.2791628287135,0.9810166954994202,484.46159583901317
-625.7446410092394,0.98089998960495,524.4183104310141
-626.9978312722104,0.9815999865531921,564.8148858580171
-628.7999223880596,0.982783317565918,605.0505949630169
-630.2931589196874,0.9826666712760925,644.7228132030214
-631.5134717839375,0.9832666516304016,684.2630313470218
-632.6132896943852,0.9839666485786438,723.8070678480217
-634.0286058990761,0.984499990940094,764.2510100830186
-635.1609919687278,0.9835500121116638,805.09603835702
-635.744539445629,0.9843833446502686,846.0130132000195
-636.2115932480455,0.9840166568756104,887.3651885390209
-636.9467113717129,0.9858666658401489,927.9864496560185
-637.8538357498223,0.986133337020874,968.7368589910257
-638.8261143567875,0.9850166440010071,1007.9094557220305
-638.6302835110164,0.98621666431427,1047.2794056790299
-639.6232361762616,0.9859166741371155,1086.5681359130322
-640.0636658137881,0.9851166605949402,1125.9856327700254
-640.501145344705,0.9866999983787537,1165.2788440420263
-640.7774775408672,0.9869333505630493,1204.3756378820326
-640.7753536602701,0.9866499900817871,1243.5671882030292
-641.6875901918976,0.9867666959762573,1283.1319720080282
-642.0186331201137,0.9872666597366333,1323.1555952090275
-642.3438870646766,0.9866166710853577,1363.6072217070323
-642.3912614072494,0.9869333505630493,1403.6215191160372
-642.5998513859274,0.9869499802589417,1443.9435367670376
-643.2349094527364,0.9856500029563904,1484.2884007800385
-643.8546596304193,0.9873833060264587,1525.0675903830415
-643.5200313432837,0.9861166477203369,1564.9481956620439
-643.7592356787492,0.9868500232696533,1604.974306970049
-643.6572592039802,0.9878333210945129,1644.790960831051
