ELBO loss,Accuracy,Epoch wall clock times
-471.029875853482,0.2828333377838135,13.831643773002725
-515.0146394777918,0.21756666898727417,26.49043212200195
-539.2833207381149,0.2443833351135254,40.397398399007216
-553.2929176681066,0.29196667671203613,52.896030384006735
-560.7321959617278,0.2975333333015442,64.86606866000511
-566.6690153952842,0.4497666656970978,76.74147453700425
-572.1862186897918,0.38928332924842834,88.77046941300796
-576.1104839731723,0.4162333309650421,100.73116935601138
-579.7421010834386,0.37825000286102295,112.72174701400945
-581.2818575892784,0.41226667165756226,124.6930393670118
-584.7146640491608,0.45820000767707825,136.65681815001153
-585.107926592199,0.35280001163482666,149.04155647500738
-588.4334845857902,0.49308332800865173,161.23061582500668
-590.876548838713,0.5150333046913147,172.45493453800736
-593.5455716783869,0.6692166924476624,184.12408580900956
-597.5321409074128,0.7112500071525574,196.711158558006
-602.1803786660973,0.6699833273887634,208.6381423510029
-604.8580555416978,0.7545166611671448,220.59940797200397
-606.5292268300518,0.7834166884422302,232.8003013050038
-608.7990961398649,0.8025333285331726,244.5070584700079
-609.0484329263562,0.8032166957855225,256.52406907801196
-610.8496853032564,0.7924333214759827,268.4494870610142
-612.0847831630672,0.864133358001709,280.42907661700883
-610.7943772983908,0.8223999738693237,292.91518698001164
-613.1887168736382,0.7610666751861572,306.35776458401233
-614.0805072230086,0.728866696357727,318.402860765018
-615.1541568481614,0.7395666837692261,330.33232583002246
-615.2105603617775,0.7206000089645386,342.37618260302406
-616.8519140660097,0.8383166790008545,354.72751338602393
-616.1270875639522,0.8634666800498962,367.5296554570232
-619.4463973805598,0.840416669845581,379.7444556080227
-618.943630745558,0.7648666501045227,393.15440256702277
-619.2428665665311,0.8669000267982483,405.41601945202274
-619.9340575917965,0.8607333302497864,419.29657781402784
-620.7855853018315,0.8419333100318909,431.88284385902807
-620.8258183051144,0.7997333407402039,443.87406180603284
-621.770960603262,0.814050018787384,455.8968586560368
-620.2715449334504,0.750333309173584,468.7277161010352
-621.1532416975613,0.8617333173751831,481.23703482503333
-621.8471986625359,0.7985166907310486,493.2482919410322
-619.8760465696992,0.847350001335144,505.31344747903495
