ELBO Loss,Accuracy,Epoch wall clock times
-482.06887608386637,0.7362499833106995,40.82208916899981
-547.1754233120114,0.9196166396141052,81.34742856899993
-575.8459284648187,0.9447333216667175,121.3087051600005
-588.6962396233121,0.9580666422843933,161.136806720001
-596.9652830845771,0.9662500023841858,200.32840161000058
-602.4151862117981,0.9682666659355164,239.11152425800083
-606.2345918265813,0.9715333580970764,277.6777399800003
-609.62964811656,0.975350022315979,316.4054799760006
-613.6232928926795,0.9763833284378052,356.09470930099997
-615.4607257995735,0.9798333048820496,394.93739845599976
-618.8231092395166,0.9742333292961121,434.0129374440003
-620.5817812366738,0.981333315372467,473.61824300399985
-621.6572853589197,0.98089998960495,513.0976319469992
-623.4376520255863,0.981333315372467,552.4735511289991
-625.7418078891258,0.9790166616439819,591.5598983569989
-626.5984233120114,0.9806333184242249,630.971143540999
-628.785202416489,0.983299970626831,669.9805300619983
-628.9273423596304,0.9842666387557983,709.2349187459986
-630.1661552949538,0.9823499917984009,748.9309371169984
-631.6209093816631,0.9815166592597961,788.2183462159983
-631.6493663113007,0.984083354473114,827.8524297739987
-632.4553172707889,0.984499990940094,867.4360532939982
-633.1270818052593,0.9802500009536743,906.5845371349978
-633.2483075337598,0.9848666787147522,946.3885264899982
-634.0076699360341,0.9842333197593689,985.658244635998
-634.6786147121535,0.9854666590690613,1025.4728444049979
-635.6838402985074,0.9831333160400391,1065.363149814998
-636.229776119403,0.9864500164985657,1104.9006463299975
-636.4364941719972,0.9860333204269409,1145.0120987889977
-636.3608474769012,0.9858166575431824,1184.165775440998
-637.2930028429282,0.9860166907310486,1223.975543872998
-637.6255345415778,0.9855499863624573,1263.910164742998
-637.7084357498223,0.9866999983787537,1303.7612960729984
-638.6187134328358,0.9856333136558533,1343.513104165998
-638.7364628287136,0.9865000247955322,1382.9161598519977
-639.2151011371714,0.9869666695594788,1422.9577815339971
-639.2552468372423,0.9869166612625122,1462.5523319489976
-639.8171857142856,0.9876000285148621,1501.7400773189984
-639.9807560056859,0.986466646194458,1541.369488860998
-639.8982626865671,0.9867333173751831,1581.1340253069984
-640.1930294953802,0.9865833520889282,1620.4528472559987
