ELBO Loss,Accuracy,Epoch wall clock times
-469.4275513148543,0.22001667320728302,35.554085001999965
-509.8816960199005,0.22621667385101318,71.22009251299983
-533.5291025941721,0.21306666731834412,106.52291606699964
-549.3199785714286,0.27880001068115234,141.98934939399965
-556.8798942430703,0.4922666549682617,178.04015617299956
-565.8715839729921,0.5510166883468628,213.33457726699953
-572.3521448827291,0.6073833107948303,248.60613245199966
-576.3706018123668,0.39703333377838135,284.0771615179997
-580.9607377754087,0.6621333360671997,320.8365477299999
-585.5024799218195,0.7408999800682068,357.35744190900004
-591.0116881663113,0.7904666662216187,392.93540131500004
-592.5322957711443,0.6702333092689514,428.64154258900044
-591.7274504264392,0.7647166848182678,464.42593191700007
-595.8208582089552,0.7835000157356262,500.2612344570002
-599.4789093105899,0.807699978351593,535.8383647580004
-601.0343011371713,0.8251333236694336,572.6968400650003
-604.4161911158493,0.8391166925430298,611.3520678600003
-603.7893695806681,0.8670666813850403,650.4914634070005
-605.8556105899075,0.8709333539009094,689.8634869760003
-607.952523169865,0.8716999888420105,729.2430285690007
-607.8572265103056,0.8790833353996277,768.693062321001
-609.6995628997868,0.8675833344459534,807.885942588001
-611.3716133617626,0.8954833149909973,847.1149639300011
-612.0009924662403,0.8998833298683167,886.5973390430008
-610.4173139303483,0.8537999987602234,924.6350494440007
-610.7130213930349,0.8740166425704956,961.512493915001
-614.2993884150675,0.8906833529472351,998.1265582550009
-616.0114876332622,0.893750011920929,1037.360193677001
-614.005543994314,0.8684333562850952,1076.1102468130011
-615.4660238095238,0.8982166647911072,1114.818122952001
-614.9671855721393,0.8920833468437195,1153.2168395350013
-613.5094558635395,0.6073333621025085,1192.6847966220012
-612.2972918265814,0.8531166911125183,1231.3343471330013
-617.5589207533759,0.9060333371162415,1270.0120065130013
-618.9633070362473,0.9040833115577698,1308.6398839720014
-619.9931547974414,0.909683346748352,1347.4484279630014
-620.3057472636816,0.9103000164031982,1385.2404873430014
-621.4948310589907,0.9160833358764648,1422.4694871530014
-621.7896863539446,0.929016649723053,1460.5565748950012
-622.0520371002133,0.9163500070571899,1498.5973228370012
-620.6320255152808,0.8974666595458984,1536.825354471001
